City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Weather,Wind Speed,Country,Date,Rain,Snow
0,Kavieng,-2.57,150.8,82.53,79,35,Rain,12.33,PG,2020-06-28 16:18:42,1.25,0
1,Tiarei,-17.53,-149.33,69.8,83,20,Clouds,2.24,PF,2020-06-28 16:20:23,0.0,0
2,Lalibela,12.03,39.03,66.96,51,81,Rain,8.3,ET,2020-06-28 16:20:23,0.16,0
3,Vaini,-21.2,-175.2,75.2,94,75,Clouds,4.7,TO,2020-06-28 16:17:40,0.0,0
4,Hilo,19.73,-155.09,71.6,83,20,Clouds,4.7,US,2020-06-28 16:15:46,0.0,0
5,Touros,-5.2,-35.46,84.2,66,75,Clouds,10.29,BR,2020-06-28 16:15:31,0.0,0
6,Luderitz,-26.65,15.16,65.61,50,0,Clear,23.76,NA,2020-06-28 16:17:35,0.0,0
7,Busselton,-33.65,115.33,50.0,92,100,Rain,1.01,AU,2020-06-28 16:17:29,0.18,0
8,Rikitea,-23.12,-134.97,68.02,64,9,Clear,19.86,PF,2020-06-28 16:16:45,0.0,0
9,Namatanai,-3.67,152.43,79.5,79,77,Rain,6.87,PG,2020-06-28 16:18:52,0.77,0
10,Carnarvon,-24.87,113.63,68.0,100,40,Clouds,8.05,AU,2020-06-28 16:17:46,0.0,0
11,Bredasdorp,-34.53,20.04,59.0,72,33,Clouds,11.41,ZA,2020-06-28 16:17:29,0.0,0
12,New Norfolk,-42.78,147.06,42.01,91,41,Clouds,2.75,AU,2020-06-28 16:18:42,0.0,0
13,Gat,31.61,34.76,84.0,65,20,Clouds,8.05,IL,2020-06-28 16:17:46,0.0,0
14,Erenhot,43.65,111.98,68.09,58,64,Rain,20.31,CN,2020-06-28 16:20:23,0.69,0
15,Tuktoyaktuk,69.45,-133.04,39.2,93,75,Clouds,3.36,CA,2020-06-28 16:17:33,0.0,0
16,Provideniya,64.38,-173.3,39.18,81,98,Clouds,16.04,RU,2020-06-28 16:17:29,0.0,0
17,Alta Floresta,-9.88,-56.09,89.35,40,0,Clear,6.78,BR,2020-06-28 16:18:29,0.0,0
18,Parana,-31.73,-60.52,55.29,61,100,Clouds,7.96,AR,2020-06-28 16:20:23,0.0,0
19,Cherskiy,68.75,161.3,38.5,76,94,Clouds,7.61,RU,2020-06-28 16:18:45,0.0,0
20,Odiongan,12.4,121.99,79.93,83,100,Rain,11.74,PH,2020-06-28 16:20:24,0.68,0
21,Fort Nelson,58.81,-122.7,57.2,76,75,Clouds,10.29,CA,2020-06-28 16:20:24,0.0,0
22,Albany,42.6,-73.97,71.6,83,90,Rain,4.7,US,2020-06-28 16:17:42,0.25,0
23,Broken Hill,-31.95,141.43,41.0,65,21,Clouds,6.93,AU,2020-06-28 16:18:41,0.0,0
24,Puerto Ayora,-0.74,-90.35,75.2,73,75,Clouds,11.41,EC,2020-06-28 16:18:44,0.0,0
25,Avarua,-21.21,-159.78,71.6,73,56,Clouds,6.93,CK,2020-06-28 16:18:42,0.0,0
26,Katsuura,35.13,140.3,73.0,94,100,Clouds,6.55,JP,2020-06-28 16:20:24,0.0,0
27,Port Blair,11.67,92.75,83.32,78,100,Clouds,9.4,IN,2020-06-28 16:20:24,0.0,0
28,Bose,45.46,8.01,84.0,57,0,Clear,3.47,IT,2020-06-28 16:20:24,0.0,0
29,North Bend,43.41,-124.22,57.0,93,90,Rain,6.93,US,2020-06-28 16:20:24,27.18,0
30,Lebu,-37.62,-73.65,53.4,93,96,Clouds,14.43,CL,2020-06-28 16:18:42,0.0,0
31,San Patricio,19.22,-104.7,86.0,74,5,Clear,11.41,MX,2020-06-28 16:20:24,0.0,0
32,Saintes,45.67,-0.75,66.2,88,90,Rain,11.41,FR,2020-06-28 16:20:24,0.0,0
33,Mahebourg,-20.41,57.7,71.6,83,40,Rain,8.05,MU,2020-06-28 16:20:24,0.0,0
34,Sao Filipe,14.9,-24.5,78.39,67,12,Clouds,13.53,CV,2020-06-28 16:20:24,0.0,0
35,Bilibino,68.05,166.44,34.63,85,2,Clear,6.29,RU,2020-06-28 16:18:52,0.0,0
36,Hobart,-42.88,147.33,44.6,81,90,Rain,8.05,AU,2020-06-28 16:17:38,0.0,0
37,Bluff,-46.6,168.33,47.26,75,81,Clouds,11.92,NZ,2020-06-28 16:16:47,0.0,0
38,Kirakira,-10.45,161.92,79.07,83,9,Clear,5.14,SB,2020-06-28 16:17:34,0.0,0
39,Nanortalik,60.14,-45.24,44.01,80,100,Clouds,10.51,GL,2020-06-28 16:20:24,0.0,0
40,Butaritari,3.07,172.79,82.67,74,31,Clouds,14.92,KI,2020-06-28 16:15:06,0.0,0
41,San Cristobal,7.77,-72.22,87.8,45,40,Clouds,20.8,VE,2020-06-28 16:17:48,0.0,0
