City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain,Snow
0,Kavieng,PG,2020-06-28 16:18:42,-2.57,150.8,82.53,79,35,12.33,1.25,0
9,Namatanai,PG,2020-06-28 16:18:52,-3.67,152.43,79.5,79,77,6.87,0.77,0
20,Odiongan,PH,2020-06-28 16:20:24,12.4,121.99,79.93,83,100,11.74,0.68,0
22,Albany,US,2020-06-28 16:17:42,42.6,-73.97,71.6,83,90,4.7,0.25,0
51,Ivanteyevka,RU,2020-06-28 16:20:25,55.97,37.92,75.99,60,46,8.95,0.46,0
67,Hede,CN,2020-06-28 16:20:25,33.77,120.25,71.19,95,95,13.4,4.17,0
76,Tamandare,BR,2020-06-28 16:20:26,-8.76,-35.1,78.44,81,53,11.65,0.78,0
81,Daru,PG,2020-06-28 16:20:26,-9.08,143.21,77.85,86,97,15.39,0.14,0
96,Bonthe,SL,2020-06-28 16:20:26,7.53,-12.51,80.49,82,85,11.5,1.48,0
111,Wewak,PG,2020-06-28 16:20:27,-3.55,143.63,80.06,84,97,8.08,0.75,0
112,Marki,PL,2020-06-28 16:20:27,52.32,21.1,87.01,54,23,8.05,0.85,0
117,Atuona,PF,2020-06-28 16:16:46,-9.8,-139.03,79.63,79,59,14.61,0.41,0
137,Kapaa,US,2020-06-28 16:18:42,22.08,-159.32,73.4,94,75,4.7,1.02,0
143,Kankon,IN,2020-06-28 16:20:28,15.02,74.02,81.52,84,100,4.9,0.13,0
186,Yining,CN,2020-06-28 16:20:29,29.04,114.56,77.43,90,100,3.02,0.24,0
205,Tucupita,VE,2020-06-28 16:20:30,9.06,-62.05,87.49,63,45,6.17,0.45,0
213,Mangan,IN,2020-06-28 16:20:30,27.52,88.53,77.22,55,72,1.01,0.27,0
244,Gigmoto,PH,2020-06-28 16:20:32,13.78,124.39,79.93,83,100,7.27,1.15,0
246,Asau,RO,2020-06-28 16:20:32,46.43,26.4,77.0,67,81,2.04,0.57,0
247,Marawi,PH,2020-06-28 16:20:32,8.0,124.29,73.99,94,100,3.0,1.53,0
248,Veydelevka,RU,2020-06-28 16:20:32,50.15,38.45,74.44,76,100,6.26,0.4,0
257,Salinopolis,BR,2020-06-28 16:18:51,-0.61,-47.36,84.25,74,1,10.27,0.31,0
258,Alappuzha,IN,2020-06-28 16:20:32,9.49,76.33,75.0,88,74,5.01,0.17,0
278,Sinnamary,GF,2020-06-28 16:17:44,5.38,-52.95,83.05,76,24,1.68,1.26,0
286,Akyab,MM,2020-06-28 16:20:33,20.15,92.9,82.36,82,92,6.71,0.45,0
313,Coari,BR,2020-06-28 16:20:34,-4.08,-63.14,87.62,60,28,2.89,0.27,0
314,Nhamunda,BR,2020-06-28 16:20:34,-2.19,-56.71,82.62,86,74,4.74,1.61,0
321,Mozhaysk,RU,2020-06-28 16:20:35,55.5,36.03,70.86,84,97,4.27,1.15,0
330,Palu,ID,2020-06-28 16:20:35,-0.89,119.87,74.73,83,100,0.56,1.4,0
332,La Primavera,CO,2020-06-28 16:20:35,5.49,-70.41,74.68,92,99,5.99,1.77,0
334,Huilong,CN,2020-06-28 16:20:35,31.81,121.66,79.0,97,92,14.36,1.08,0
338,Bengkulu,ID,2020-06-28 16:20:35,-3.8,102.27,78.03,87,40,6.06,0.31,0
351,Matara,LK,2020-06-28 16:18:00,5.95,80.54,80.53,85,87,9.84,0.17,0
367,Ambon,ID,2020-06-28 16:17:39,-3.7,128.18,79.0,14,100,6.33,0.17,0
370,Mitu,CO,2020-06-28 16:20:37,1.2,-70.17,75.74,95,91,2.19,0.72,0
375,Bac Lieu,VN,2020-06-28 16:18:36,9.29,105.72,81.99,79,100,10.83,1.02,0
385,Savannah Bight,HN,2020-06-28 16:20:37,16.45,-85.85,82.24,77,99,16.28,0.16,0
397,Maragogi,BR,2020-06-28 16:15:51,-9.01,-35.22,78.84,80,48,12.73,0.81,0
398,Sapa,PH,2020-06-28 16:20:38,5.15,120.32,78.37,85,100,6.91,1.73,0
445,Piacabucu,BR,2020-06-28 16:20:40,-10.41,-36.43,80.47,71,10,11.23,0.13,0
484,Kholm-Zhirkovskiy,RU,2020-06-28 16:20:41,55.52,33.47,74.05,76,76,1.43,0.25,0
496,Itacoatiara,BR,2020-06-28 16:20:42,-3.14,-58.44,84.7,75,22,4.9,1.27,0
510,Axim,GH,2020-06-28 16:17:30,4.87,-2.24,78.31,83,59,11.88,0.78,0
518,Chekhov,RU,2020-06-28 16:20:42,55.14,37.47,73.4,64,98,8.95,1.76,0
525,Koryukivka,UA,2020-06-28 16:20:43,51.77,32.25,72.84,83,32,8.32,0.79,0
529,Tabuk,PH,2020-06-28 16:17:04,17.42,121.44,75.56,87,100,2.42,0.88,0
541,Carmo,BR,2020-06-28 16:20:43,-21.93,-42.61,72.27,71,75,2.28,0.39,0
542,Punta De Piedra,VE,2020-06-28 16:20:43,7.62,-71.49,78.49,90,94,3.94,0.87,0
