City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busca,IT,2020-06-28 14:24:34,44.52,7.47,88.0,54,2,3.36
1,Clyde River,CA,2020-06-28 14:24:34,70.47,-68.59,32.0,80,90,6.93
2,Mumford,GH,2020-06-28 14:22:49,5.26,-0.76,78.66,83,13,16.13
3,Cidreira,BR,2020-06-28 14:24:34,-30.18,-50.21,57.36,62,0,4.12
4,Barrow,US,2020-06-28 14:24:34,71.29,-156.79,44.6,81,1,9.17
5,Albany,US,2020-06-28 14:24:34,42.6,-73.97,69.01,92,14,0.83
6,Meulaboh,ID,2020-06-28 14:24:34,4.14,96.13,80.37,82,99,4.52
7,Ushuaia,AR,2020-06-28 14:19:57,-54.8,-68.3,35.6,69,75,19.46
8,Carnarvon,AU,2020-06-28 14:24:34,-24.87,113.63,69.8,100,75,13.87
9,Qaanaaq,GL,2020-06-28 14:24:34,77.48,-69.36,43.5,62,57,5.03
10,Tatvan,TR,2020-06-28 14:24:34,38.51,42.28,84.2,35,75,6.93
11,Tura,IN,2020-06-28 14:24:34,25.52,90.22,75.54,96,50,5.91
12,La Ronge,CA,2020-06-28 14:24:34,55.1,-105.28,60.8,87,75,5.82
13,Bagotville,AU,2020-06-28 14:24:35,-28.98,153.42,55.4,93,90,6.71
14,Port Alfred,ZA,2020-06-28 14:24:35,-33.59,26.89,63.0,69,11,8.99
15,Tiksi,RU,2020-06-28 14:24:35,71.69,128.87,39.99,72,100,3.76
16,Marsa Matruh,EG,2020-06-28 14:22:49,31.35,27.25,80.6,54,0,11.41
17,Kodinsk,RU,2020-06-28 14:24:35,58.69,99.18,71.28,51,0,1.81
18,Waipawa,NZ,2020-06-28 14:24:35,-41.41,175.52,54.0,75,15,5.99
19,Shelburne,CA,2020-06-28 14:23:59,44.08,-80.2,73.0,73,20,9.17
20,Nhulunbuy,AU,2020-06-28 14:24:35,-12.23,136.77,73.4,83,40,6.93
21,Rikitea,PF,2020-06-28 14:22:49,-23.12,-134.97,68.34,61,0,19.69
22,Montlucon,FR,2020-06-28 14:24:35,46.33,2.6,69.01,76,100,4.0
23,Vuktyl,RU,2020-06-28 14:24:35,63.86,57.31,50.05,62,77,13.6
24,Kamalapuram,IN,2020-06-28 14:22:49,14.58,78.65,92.28,47,100,1.83
25,Vanimo,PG,2020-06-28 14:24:35,-2.67,141.3,80.02,84,100,7.94
26,Eugene,US,2020-06-28 14:24:35,44.05,-123.09,55.99,82,90,3.36
27,Santana Do Livramento,BR,2020-06-28 14:22:49,-30.89,-55.53,50.09,69,12,6.6
28,Inhambane,MZ,2020-06-28 14:24:35,-23.86,35.38,86.0,33,0,5.82
29,Port Elizabeth,ZA,2020-06-28 14:24:35,-33.92,25.57,60.8,67,75,27.51
30,Hithadhoo,MV,2020-06-28 14:24:36,-0.6,73.08,85.69,68,100,7.9
31,Klaksvik,FO,2020-06-28 14:24:36,62.23,-6.59,57.2,93,75,17.22
32,Great Bend,US,2020-06-28 14:24:16,38.36,-98.76,80.01,69,1,24.16
33,Rancho Palos Verdes,US,2020-06-28 14:22:50,33.74,-118.39,64.99,90,100,4.27
34,Timmins,CA,2020-06-28 14:24:36,48.47,-81.33,69.8,60,20,6.93
35,Ribeira Grande,PT,2020-06-28 14:24:36,38.52,-28.7,73.4,83,75,11.41
36,Pizarro,CO,2020-06-28 14:24:36,4.95,-77.37,76.59,90,100,5.73
37,Cayenne,GF,2020-06-28 14:19:38,4.93,-52.33,82.4,78,39,3.36
38,Tazovskiy,RU,2020-06-28 14:24:36,67.47,78.7,57.42,85,87,9.33
